dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
naval_propulsion,prism_z_random_forest,0.011739417389394182,0.0005488213560400386,0.010012302927693562,-0.091458690954158,0.08296443009338036,5,6630,2652,2,12,2
naval_propulsion,prism_z_acp_random_forest,0.01174089559530189,0.0005917901851082266,0.010015145055150892,-0.09203297928857428,0.08996109956580844,5,6630,2652,2,12,2
naval_propulsion,prism_z_acp_xgboost,0.01226799821684148,0.0008581005421519949,0.01036797457637811,-0.17524916591739692,0.14196096577114145,5,6630,2652,2,12,2
naval_propulsion,prism_z_xgboost,0.012305166589967826,0.0008677182982663816,0.01039349245329077,-0.1812527428247604,0.14396837478165786,5,6630,2652,2,12,2
naval_propulsion,prism_z_lightgbm,0.012684359442286899,0.0006186474978259796,0.010641946147815943,-0.2396963133233488,0.1029187653850695,5,6630,2652,2,12,2
naval_propulsion,prism_z_acp_lightgbm,0.012897434519227143,0.0005590152022731214,0.010790989411478939,-0.27474644033284684,0.09477004760847467,5,6630,2652,2,12,2
occupancy_detection,oracle_mlp,0.19874663650989532,0.031926855576251106,0.06347436010837555,0.7810153603553772,0.07074751313569554,5,6514,12417,4,5,1
occupancy_detection,ftt_mlp,0.23465553566773178,0.003499713225365988,0.06746092960255724,0.7008572353382697,0.008886715182760506,5,6514,12417,4,5,1
occupancy_detection,simple_mlp,0.2381332963705063,0.005732986061444212,0.07108656615018845,0.6918365359306335,0.014893730812860544,5,6514,12417,4,5,1
occupancy_detection,prism_z_acp_random_forest,0.24007381818061863,0.004080655828618359,0.06619012168772126,0.6868664603684931,0.010642838992018596,5,6514,12417,4,5,1
occupancy_detection,prism_z_acp_xgboost,0.24038427736683574,0.0039099493206716015,0.06653340570225438,0.6860621738750403,0.010253262987558964,5,6514,12417,4,5,1
occupancy_detection,prism_z_acp_lightgbm,0.24061295436940347,0.0035335308350040897,0.06916783081728613,0.6854768947928195,0.00926596753650475,5,6514,12417,4,5,1
